項番	大項目	中項目	小項目	小項目説明	重複項目	"メトリクス
(指標)"	レベル						運用コストへの影響	備考
B.1.1.1	性能・拡張性	業務処理量	通常時の業務量	"性能・拡張性に影響を与える業務量。
該当システムの稼働時を想定し、合意する。
それぞれのメトリクスに於いて、単一の値だけでなく、前提となる時間帯や季節の特性なども考慮する。
"	○	ユーザ数	特定ユーザのみ	上限が決まっている	不特定多数のユーザが利用					"【重複項目】
F.2.1.1。ユーザ数は性能・拡張性を決めるための前提となる項目であると共にシステム環境を規定する項目でもあるため、性能・拡張性とシステム環境・エコロジーの両方に含まれている。

【レベル】
前提となる数値が決められない場合は、類似システムなどを参考に仮の値でも良いので決めておくことが必要。
"
B.1.1.2						同時アクセス数	特定利用者の限られたアクセスのみ	同時アクセスの上限が決まっている	不特定多数のアクセス有り					"【メトリクス】
同時アクセス数とは、ある時点でシステムにアクセスしているユーザ数のことである。
"
B.1.1.3						データ量	全てのデータ量が明確である	主要なデータ量のみが明確である						"【レベル1】
主要なデータ量とは、システムが保持するデータの中で、多くを占めるデータのことを言う。
例えば、マスター系テーブルや主なトランザクションデータの一次保存分などがある。
主要なデータ量しか決まっていない場合、後工程に於いて、検討漏れデータの出現などによるディスク追加などが発生するリスクがある。
"
B.1.1.4						オンラインリクエスト件数	処理毎にリクエスト件数が明確である	主な処理のリクエスト件数のみが明確である						"【メトリクス】
オンラインリクエスト件数は単位時間を明らかにして確認する。

【レベル1】
主な処理とはシステムが受け付けるオンラインリクエストの中で大部分を占めるものを言う。
例えば、住民情報システムの転入・転出処理やネットショッピングシステムの決済処理などがある。
主なリクエスト件数しか決まっていない場合、後工程に於いて、検討漏れリクエストの出現などによるサーバ能力不足などのリスクがある。
"
B.1.1.5						バッチ処理件数	処理単位毎に処理件数が決まっている	主な処理の処理件数が決まっている						"【メトリクス】
バッチ処理件数は単位時間を明らかにして確認する。要件定義時には主な処理（特に該当システムでクリティカルとなる処理）では処理件数のおおよその目安は決まっているはずであり、それを元に性能や拡張性の検討を進める。要件定義時に明確になっていない場合は、確定度合も含め、想定しておく。

【レベル1】
主な処理とはシステムが実行するバッチ処理の中で大部分の時間を占める物をいう。
例えば、人事給与システムや料金計算システムの月次集計処理などがある。
主なバッチ処理件数しか決まっていない場合、後工程に於いて、検討漏れ処理の出現などによるサーバ能力不足などのリスクがある。
"
B.1.2.1			業務量増大度	"システム稼動開始からライフサイクル終了までの間で、開始時点と業務量が最大になる時点の業務量の倍率。
必要に応じ、開始日の平均値や、開始後の定常状態との比較を行う場合もある。
"		ユーザ数増大率	1倍	1.2倍	1.5倍	2倍	3倍	10倍以上		"【レベル】
レベルに示した倍率はおおまかな目安を示しており、具体的には数値で合意する必要がある。
"
B.1.2.2						同時アクセス数増大率	1倍	1.2倍	1.5倍	2倍	3倍	10倍以上		"【レベル】
レベルに示した倍率はおおまかな目安を示しており、具体的には数値で合意する必要がある。
"
B.1.2.3						データ量増大率	1倍	1.2倍	1.5倍	2倍	3倍	10倍以上		"【レベル】
レベルに示した倍率はおおまかな目安を示しており、具体的には数値で合意する必要がある。
"
B.1.2.4						オンラインリクエスト件数増大率	1倍	1.2倍	1.5倍	2倍	3倍	10倍以上		"【メトリクス】
オンラインリクエスト件数は単位時間を明らかにして確認する。

【レベル】
レベルに示した倍率はおおまかな目安を示しており、具体的には数値で合意する必要がある。
"
B.1.2.5						バッチ処理件数増大率	1倍	1.2倍	1.5倍	2倍	3倍	10倍以上		"【メトリクス】
バッチ処理件数は単位時間を明らかにして確認する。

【レベル】
レベルに示した倍率はおおまかな目安を示しており、具体的には数値で合意する必要がある。
"
B.1.3.1			保管期間	"システムが参照するデータのうち、OSやミドルウェアのログなどのシステム基盤が利用するデータに対する保管が必要な期間。
必要に応じて、データの種別毎に定める。
保管対象のデータを選択する際には、対象範囲についても決めておく。
"		"保管期間
"	6ヶ月	1年	3年	5年	10年以上有期	永久保管		"【レベル】
対象が複数あり、それぞれの保管期間が異なる場合は、それぞれの対象データについて決めること。

【レベル0】
保管期間の制約が短い場合は6ヶ月で代用する。
"
B.2.1.1		性能目標値	オンラインレスポンス	"オンラインシステム利用時に要求されるレスポンス。
システム化する対象業務の特性をふまえ、どの程度のレスポンスが必要かについて確認する。ピーク特性や、障害時の運用を考慮し、通常時・ピーク時・縮退運転時毎に順守率を決める。具体的な数値は特定の機能またはシステム分類毎に決めておくことが望ましい。（例：Webシステムの参照系/更新系/一覧系など）
"		通常時レスポンス順守率	順守率を定めない	60%	80%	90%	95%	99%以上		"【レベル】
具体的な目標値や約束値がある場合、各処理の順守率を規定する。
レベルに示した順守率はおおまかな目安を示しており、具体的にはレスポンスと順守率について数値で合意する必要がある。
"
B.2.1.2						ピーク時レスポンス順守率	順守率を定めない	60%	80%	90%	95%	99%以上		"【レベル】
具体的な目標値や約束値がある場合、各処理の順守率を規定する。
レベルに示した順守率はおおまかな目安を示しており、具体的にはレスポンスと順守率について数値で合意する必要がある。
"
B.2.2.1			バッチレスポンス（ターンアラウンドタイム）	"バッチシステム利用時に要求されるレスポンス。
システム化する対象業務の特性をふまえ、どの程度のレスポンス（ターンアラウンドタイム）が必要かについて確認する。更に、ピーク特性や、障害時の運用を考慮し、通常時・ピーク時・縮退運転時毎に順守率を決める、具体的な数値は特定の機能またはシステム分類毎に決めておくことが望ましい。
（例：日次処理/月次処理/年次処理など）
"		通常時レスポンス順守度合い	順守度合いを定めない	所定の時間内に収まる	再実行の余裕が確保できる					"【レベル1】
所定の時間には再実行は含まない。
"
B.2.2.2						ピーク時レスポンス順守度合い	順守度合いを定めない	所定の時間内に収まる	再実行の余裕が確保できる					"【レベル1】
所定の時間には再実行は含まない。
"
B.3.1.1		リソース拡張性	CPU拡張性	"CPUの拡張性を確認するための項目。
システム運用開始時のCPU利用率とCPUスロットの空き具合から確認する。
CPU利用率が少ないほど拡張性はあるが、CPUのコストは高く、無駄が生じていることになる。
CPU搭載余裕有無は空きスロットの有無と空きスロット数を確認することで、拡張余力があるかどうかを示す。
"		CPU利用率	80%以上	50%以上80%未満	20%以上50%未満	20%未満			○	"【メトリクス】
CPU利用率は単位時間に、実行中のプログラムがCPUを使用している割合を示している。単位時間をどの程度にするか、また、動作するプログラムの特性によって数値は大きく異なる。

【レベル】
レベルに示した利用率はおおまかな目安を示しており、具体的な数値で合意する必要がある。

【運用コストへの影響】
CPU利用率が大きい場合、少しの業務量増大で機器増設などの対策が必要になる。
"
B.3.1.2						CPU搭載余裕有無	余裕無し	1スロットの空き有り	2スロットの空き有り	3スロットの空き有り	4スロット以上の空き有り		○	"【レベル】
CPU搭載余裕がある機器は無い機器より高コストである。

【運用コストへの影響】
CPU搭載のための空きがない機器の場合、機器自体の増設が必要になる。
"
B.3.2.1			メモリ拡張性	"メモリの拡張性を確認するための項目。
システム運用開始時のメモリ利用率とメモリスロットの空き具合から確認する。
メモリ利用率が少ないほど拡張性はあるが、メモリのコストは高く、無駄が生じていることになる。
メモリ搭載余裕有無は空きスロットの有無と空きスロット数を確認することで、拡張余力があるかどうかを示す。
"		メモリ利用率	80%以上	50%以上80%未満	20%以上50%未満	20%未満			○	"【メトリクス】
メモリ利用率は単位時間に、実行中のプログラムがメモリを使用している割合を示している。単位時間をどの程度にするか、また、動作するプログラムの特性によって数値は大きく異なる。

【レベル】
レベルに示した利用率はおおまかな目安を示しており、具体的な数値で合意する必要がある。

【運用コストへの影響】
メモリ利用率が大きい場合、少しの業務量増大でメモリや機器の増設が必要になる。
"
B.3.2.2						メモリ搭載余裕有無	余裕無し	1スロットの空き有り	2スロットの空き有り	3スロットの空き有り	4スロット以上の空き有り		○	"【レベル】
メモリ搭載余裕がある機器は無い機器より高コストである。

【運用コストへの影響】
メモリ増設のための空きがない機器の場合、機器自体の増設が必要になる。
"
C.1.1.1	運用・保守性	通常運用	運用時間	"システム運用を行う時間。利用者やシステム管理者に対してサービスを提供するために、システムを稼動させ、オンライン処理やバッチ処理を実行している時間帯のこと。
"	○	運用時間（通常）	規定無し	"定時内
（9時～17時）"	"夜間のみ停止
（9時～21時）"	"1時間程度の停止有り
（9時～翌朝8時）"	"若干の停止有り
（9時～翌朝8時55分）"	24時間無停止		"【重複項目】
A.1.1.1。運用時間（通常）は、システムの可用性の実現レベルを表す項目でもあるため、重複項目となっている。

【メトリクス】
運用時間は、オンライン/バッチを含みシステムが稼動している時間帯を指す。

【レベル】
（）内の時間は各レベルの一例を示したもので、レベル選定の条件とはしていない。規定無しは、固定のサービス時間が存在しないことを示し、基本的にシステムは停止していて、必要に応じてユーザがシステムを起動するようなケースを想定している（例：障害発生に備えた予備システム、開発・検証用システム等）。定時内や夜間のみ停止は、一般的な業務形態を想定したもので、業務が稼動する時間帯が異なるシステムにおいては、時間帯をスライドさせるなどの読替えが必要である。停止有りとは、システムを停止しなければならない時間帯ではなく、システムを停止できる可能性のある時間帯を指す。24時間無停止は、オンライン業務が稼動していない時間にバッチを稼動させる必要があり、システムを停止することができないようなケースも含まれる。
"
C.1.1.2					○	"運用時間（特定日）
"	規定無し	"定時内
（9時～17時）"	"夜間のみ停止
（9時～21時）"	"1時間程度の停止有り
（9時～翌朝8時）"	"若干の停止有り
（9時～翌朝8時55分）"	24時間無停止		"【重複項目】
A.1.1.2。運用時間（特定日）は、システムの可用性の実現レベルを表す項目でもあるため、重複項目となっている。

【メトリクス】
特定日とは、休日/祝祭日や月末月初など通常の運用スケジュールとは異なるスケジュールを定義している日のことを指す。特定日が複数存在する場合は、それぞれにおいてレベル値を整合する必要がある（例：「月～金はレベル2だが、土日はレベル0」、「通常はレベル5だが、毎月1日にリブートをするためその日はレベル3」など）。
また、ユーザの休日だけでなく、ベンダの休日についても特定日として認識し、運用保守体制等を整合すること。
"
C.1.2.2			"バックアップ
"	"システムが利用するデータのバックアップに関する項目。
"		外部データの利用可否	"全データの復旧に利用できる
"	"一部のデータ復旧に利用できる
"	"外部データは利用できない
"					"【メトリクス】
外部データとは、当該システムの範囲外に存在するシステムの保有するデータを指す（開発対象のシステムと連携する既存システムなど）。外部データによりシステムのデータが復旧可能な場合、システムにおいてバックアップ設計を行う必要性が減るため、検討の優先度やレベルを下げて考えることができる。
"
C.1.2.3						バックアップ利用範囲	バックアップを取得しない	障害発生時のデータ損失防止	ユーザエラーからの回復	データの長期保存（アーカイブ）				"【レベル2】
ユーザエラーからの回復の場合、システムとしては正常に完了してしまった処理を元に戻さなければならないため、複数世代のバックアップの管理や時間指定回復（Point in Time Recovery）等の機能が必要となる場合が考えられる。
"
C.1.2.4						バックアップ自動化の範囲	全ステップを手動で行う	数ステップを手動で行う（テープ交換とバックアップ開始コマンドの入力）	1ステップのみ手動で行う（テープ交換のみ）	全ステップを自動で行う			○	"【メトリクス】
バックアップ運用には、
　・スケジュールに基づくジョブ起動
　・バックアップ対象の選択
　・バックアップ先メディアの選択（テープ交換）
　・ファイル転送
などといった作業ステップが存在する。別地保管を媒体搬送で行う場合の、テープ交換はここには含まない。

【運用コストへの影響】
バックアップ運用の自動化を実現するためには、ハードウェア・ソフトウェアに対する投資が必要となり導入コストは増大する。しかし、運用中におけるバックアップ作業をユーザが実施する必要がなくなるため、その分運用コストは減少すると考えられる。
"
C.1.2.5						"バックアップ取得間隔
"	バックアップを取得しない	"システム構成の変更時など、任意のタイミング
"	"月次で取得
"	"週次で取得
"	"日次で取得
"	"同期バックアップ
"		
C.1.2.6						"バックアップ保存期間
"	"バックアップを保存しない
"	1年未満	3年	5年	"10年以上有限

"	"永久保存
"		"【メトリクス】
主に可用性の観点で実施されるバックアップの世代管理とは別に、ここではデータ保全という観点でバックアップデータの保存期間を検討する。
"
C.1.3.1			"運用監視
"	"システム全体、あるいはそれを構成するハードウェア・ソフトウェア（業務アプリケーションを含む）に対する監視に関する項目。

セキュリティ監視については本項目には含めない。「E.7.1 不正監視」で別途検討すること。
"		監視情報	"監視を行わない
"	"死活監視を行う
"	"エラー監視を行う
"	"エラー監視（トレース情報を含む）を行う
"	リソース監視を行う	パフォーマンス監視を行う	○	"【メトリクス】
監視とは情報収集を行った結果に応じて適切な宛先に発報することを意味する。本項目は、監視対象としてどのような情報を発信するべきかを決定することを目的としている。また、監視情報の発報先については、「C.4.5.2 監視システムの有無」で確認すること。

【レベル】
死活監視とは、対象のステータスがオンラインの状態にあるかオフラインの状態にあるかを判断する監視のこと。

エラー監視とは、対象が出力するログ等にエラー出力が含まれているかどうかを判断する監視のこと。トレース情報を含む場合は、どのモジュールでエラーが発生しているのか詳細についても判断することができる。

リソース監視とは、対象が出力するログや別途収集するパフォーマンス情報に基づいてCPUやメモリ、ディスク、ネットワーク帯域といったリソースの使用状況を判断する監視のこと。

パフォーマンス監視とは、対象が出力するログや別途収集するパフォーマンス情報に基づいて、業務アプリケーションやディスク I/O、ネットワーク転送等の応答時間やスループットについて判断する監視のこと。

【運用コストへの影響】
エラー監視やリソース監視、パフォーマンス監視を行うことによって、障害原因の追求が容易となったり、障害を未然に防止できるなど、システムの品質を維持するための運用コストが下がる。
"
C.1.3.2						監視間隔	"監視を行わない
"	不定期監視（手動監視）	定期監視（1日間隔）	定期監視（数時間間隔）	リアルタイム監視（分間隔）	リアルタイム監視（秒間隔）		
C.2.1.1		システム運用	計画停止	"点検作業や領域拡張、デフラグ、マスターデータのメンテナンス等、システムのシステム運用作業の実施を目的とした、事前計画済みのサービス停止に関する項目。
"	○	計画停止の有無	計画停止有り（運用スケジュールの変更可）	計画停止有り（運用スケジュールの変更不可）	計画停止無し				○	"【重複項目】
A.1.1.3。計画停止の有無は、システムの可用性の実現レベルを表す項目でもあるため、重複項目となっている。

【運用コストへの影響】
計画停止有りの場合、事前のバックアップや、システム構成に応じた手順準備など、運用時のコストがかさむ。
"
C.2.2.1			運用負荷削減	"システム運用に関する作業負荷を削減するための設計に関する項目。
"		"システム運用作業自動化の範囲
"	システム運用作業は全て手動で実施する	一部のシステム運用作業を自動で実行する	全てのシステム運用作業を自動で実行する				○	"【メトリクス】
システム運用作業とは、システム運用に伴うシステム基盤を維持管理するための作業を指し、点検作業やパッチ適用等のアップデート作業、領域拡張、デフラグ、ログローテート等を想定している。障害対応や復旧作業などは含まない。

【運用コストへの影響】
システム基盤のシステム運用作業を自動化するためには、特別な運用管理ツールを導入したり、さまざまな作り込みを実施する必要がある。そのため導入コストは増大するが、ユーザが実施すべきシステム運用作業が簡略化あるいはなくなると考えられるので、運用コストは減少する。
"
C.4.1.1		運用環境	開発環境の設置	"ユーザがシステムに対する開発作業を実施する目的で導入する環境についての項目。
"		開発環境の設置有無	"システムの開発環境を設置しない
"	"運用環境の一部に限定した開発環境を設置する
"	"運用環境と同一の開発環境を設置する
"					"【メトリクス】
開発環境とは、本番環境とは別に開発専用に使用することのできる機材一式のことを指す。本番移行後に本番環境として利用される開発フェーズの環境は、本項目に含めない。

【レベル】
開発フェーズでは開発環境として使用していたが、本番移行後は本番環境となる環境については、レベル0のシステムの開発環境を設置しないを選択する。
"
C.4.2.1			テスト環境の設置	"ユーザがシステムの動作を試験する目的で導入する環境についての項目。
"		テスト環境の設置有無	システムの試験環境を設置しない	システムの開発環境と併用する	専用のテスト環境を設置する					"【メトリクス】
テスト環境とは、本番環境とは別に試験専用に使用することのできる機材一式のことを指す。本番移行後に本番環境として利用される試験フェーズの環境は、本項目に含めない。

【レベル】
試験フェーズでは試験環境として使用していたが、本番移行後は本番環境となる環境については、レベル0のシステムの試験環境を設置しないを選択する。
"
C.4.3.1			手順書準備レベル	"運用のための手順書の準備のレベル。
"		手順書準備レベル	各製品標準の手順書を利用する	システムの通常運用の手順書を提供する	システムの通常運用とシステム運用の手順書を提供する	ユーザのシステム運用ルールに基づくカスタマイズされた手順書を提供する			○	"【レベル】
通常運用の手順書には、システム基盤に対する通常時の運用（起動・停止等）にかかわる操作や機能についての説明が記載される。システム運用の手順書には、システム基盤に対するシステム運用作業（部品交換やデータ復旧手順等）にかかわる操作や機能についての説明が記載される。
障害発生時の一次対応に関する記述（系切り替え作業やログ収集作業等）は通常運用手順書に含まれる。バックアップからの復旧作業については保守手順書に含まれるものとする。

【運用コストへの影響】
ユーザの運用に合わせたカスタマイズされた手順書は、作成するためにコストがかかるため導入コストが増大するが、ユーザが運用時に手順を調査する負担が減少するため運用コストは減少する。
"
C.4.4.1			リモートオペレーション	"システムの設置環境とは離れた環境からのネットワークを介した監視や操作の可否を定義する項目。
"		"リモート監視地点
"	"リモート監視を行わない
"	"構内LANを介してリモート監視を行う
"	"遠隔地でリモート監視を行う
"				○	"【レベル】
監視の内容については、通常運用の運用監視の項目にて確認する必要がある。

【運用コストへの影響】
リモート監視を実装するためには、特別なハードウェア・ソフトウェアを導入する必要があり導入コストが増大する。しかし、運用状況の確認のために管理者がわざわざサーバの設置場所まで移動する必要がなくなるため、運用コストは減少する。
"
C.4.4.2						リモート操作の範囲	リモート操作を行わない	定型処理のみリモート操作を行う	任意のリモート操作を行う				○	"【メトリクス】
リモート監視地点から実施できる操作の範囲を検討する。

【レベル】
定型処理のみリモート操作を実現するためのソフトウェアは安価であったり、任意のリモート操作を認める場合はセキュリティやその他の面での検討項目が増えることを考慮し、定型処理よりも任意のリモート操作を行う方のレベルを高く設定している。

【運用コストへの影響】
リモート操作を実装するためには、特別なハードウェア・ソフトウェアを導入する必要があり導入コストが増大する。しかし、メンテナンス操作のために管理者がわざわざサーバの設置場所まで移動する必要がなくなるため、運用コストは減少する。
"
C.4.5.1			"外部システム接続
"	"システムの運用に影響する外部システムとの接続の有無に関する項目。
"		外部システムとの接続有無	外部システムと接続しない	社内の外部システムと接続する	社外の外部システムと接続する					"【メトリクス】
接続する場合には、そのインターフェースについて確認すること。
"
C.5.1.1		サポート体制	保守契約（ハードウェア）	"保守が必要な対象ハードウェアの範囲。
"		保守契約（ハードウェア）の範囲	保守契約を行わない	ベンダの自社製品（ハードウェア）に対してのみ保守契約を行う	マルチベンダのサポート契約を行う（一部対象外を許容）	"マルチベンダのサポート契約を行う（システムを構成する全製品を対象）
"			○	"【レベル】
ベンダの自社製品（ハードウェア）に対してのみサポート契約とは、システムを構成する製品個別の提供ベンダと、当該製品に対するサポート契約を行うことを意味しており、当該製品に対してのみサポートサービスが提供される契約形態のことである。

マルチベンダのサポート契約とは、システム全体に対するサポートサービスを提供するベンダと契約を行うことを意味しており、複数のベンダの製品から構成されるシステムに対してワンストップのサポート窓口が提供される契約形態のことである。

【運用コストへの影響】
サポート契約を行うと運用コストが増大するように感じられるが、問題が発生した際に必要となる費用が膨大となるため、サポート契約を行ったほうが結果として運用コストは小さくなる場合がある。
"
C.5.2.1			"保守契約（ソフトウェア）
"	"保守が必要な対象ソフトウェアの範囲。
"		保守契約（ソフトウェア）の範囲	保守契約を行わない	ベンダの自社製品（ソフトウェア）に対してのみ保守契約を行う	マルチベンダのサポート契約を行う（一部対象外を許容）	"マルチベンダのサポート契約を行う（システムを構成する全製品を対象）
"			○	"【レベル】
ベンダの自社製品（ソフトウェア）に対してのみサポート契約とは、システムを構成する製品個別の提供ベンダと、当該製品に対するサポート契約を行うことを意味しており、当該製品に対してのみサポートサービスが提供される契約形態のことである。

マルチベンダのサポート契約とは、システム全体に対するサポートサービスを提供するベンダと契約を行うことを意味しており、複数のベンダの製品から構成されるシステムに対してワンストップのサポート窓口が提供される契約形態のことである。

【運用コストへの影響】
サポート契約を行うと運用コストが増大するように感じられるが、問題が発生した際に必要となる費用が膨大となるため、サポート契約を行ったほうが結果として運用コストは小さくなる場合がある。
"
C.5.3.1			ライフサイクル期間	"運用保守の対応期間および、実際にシステムが稼動するライフサイクルの期間。
"		ライフサイクル期間	3年	5年	7年	10年以上				"【メトリクス】
ここでのライフサイクルとは、次回のシステム更改までの期間と規定している。製品の保守可能期間よりも長い期間のライフサイクルとなる場合は、保守延長や保守可能バージョンへのアップ等の対応が必要となる。
"
C.6.1.1		その他の運用管理方針	"内部統制対応
"	"IT運用プロセスの内部統制対応を行うかどうかに関する項目。
"		内部統制対応の実施有無	"内部統制対応について規定しない
"	"既存の社内規定に従って、内部統制対応を実施する
"	"新規に規定を制定し、内部統制対応を実施する
"					"【メトリクス】
ここでは内部統制対応の実施有無について確認する。内部統制対応の具体的な対応方法（オペレーションで実施するか、システムへの機能実装で実現するか等）については、有無の確認後に具体化して確認する。
"
